Symbol,Date,Open,High,Low,Close,Volume
XSP.IDX,01-04-2014,187.4,188.58,187.4,188.55,0
XSP.IDX,02-04-2014,188.66,189.32,188.38,189.09,0
XSP.IDX,03-04-2014,189.14,189.38,188.27,188.88,0
XSP.IDX,04-04-2014,189.03,189.73,186.33,186.51,0
XSP.IDX,07-04-2014,186.39,186.4,184.15,184.5,0
XSP.IDX,08-04-2014,184.55,185.5,183.75,185.2,0
XSP.IDX,09-04-2014,185.26,187.24,185.24,187.22,0
XSP.IDX,10-04-2014,187.23,187.25,183.09,183.31,0
XSP.IDX,11-04-2014,183.07,183.51,181.44,181.57,0
XSP.IDX,14-04-2014,181.82,183.42,181.58,183.06,0
XSP.IDX,15-04-2014,183.15,184.4,181.63,184.3,0
XSP.IDX,16-04-2014,184.6,186.23,184.6,186.23,0
XSP.IDX,17-04-2014,186.17,186.96,185.67,186.49,0
XSP.IDX,18-04-2014,186.49,186.49,186.49,186.49,0
XSP.IDX,21-04-2014,186.58,187.19,186.32,187.19,0
XSP.IDX,22-04-2014,187.26,188.49,187.26,187.96,0
XSP.IDX,23-04-2014,187.93,187.98,187.39,187.54,0
XSP.IDX,24-04-2014,188.2,188.41,187.02,187.86,0
XSP.IDX,25-04-2014,187.77,187.77,185.97,186.34,0
XSP.IDX,28-04-2014,186.5,187.7,185.06,186.94,0
XSP.IDX,29-04-2014,187.08,188.06,187.08,187.83,0
XSP.IDX,30-04-2014,187.71,188.52,187.27,188.4,0
XSP.IDX,01-05-2014,188.44,188.86,187.8,188.37,0
XSP.IDX,02-05-2014,188.53,189.13,187.85,188.11,0
XSP.IDX,05-05-2014,187.95,188.55,186.68,188.47,0
XSP.IDX,06-05-2014,188.37,188.37,186.77,186.77,0
XSP.IDX,07-05-2014,186.85,187.88,186.03,187.82,0
XSP.IDX,08-05-2014,187.74,188.91,187.01,187.56,0
XSP.IDX,09-05-2014,187.53,187.86,186.71,187.85,0
XSP.IDX,12-05-2014,188,189.71,188,189.67,0
XSP.IDX,13-05-2014,189.68,190.22,189.61,189.75,0
XSP.IDX,14-05-2014,189.71,189.71,188.58,188.85,0
XSP.IDX,15-05-2014,188.82,188.82,186.24,187.08,0
XSP.IDX,16-05-2014,187.12,187.83,186.48,187.79,0
XSP.IDX,19-05-2014,187.67,188.6,187.24,188.51,0
XSP.IDX,20-05-2014,188.49,188.49,186.81,187.28,0
XSP.IDX,21-05-2014,187.33,188.88,187.33,188.8,0
XSP.IDX,22-05-2014,188.82,189.63,188.54,189.25,0
XSP.IDX,23-05-2014,189.33,190.13,189.33,190.05,0
XSP.IDX,26-05-2014,190.05,190.05,190.05,190.05,0
XSP.IDX,27-05-2014,190.2,191.23,190.2,191.19,0
XSP.IDX,28-05-2014,191.18,191.45,190.73,190.98,0
XSP.IDX,29-05-2014,191.06,192,190.98,192,0
XSP.IDX,30-05-2014,192.03,192.4,191.66,192.36,0
XSP.IDX,02-06-2014,192.39,192.59,191.6,192.5,0
XSP.IDX,03-06-2014,192.31,192.51,191.88,192.42,0
XSP.IDX,04-06-2014,192.31,192.86,191.86,192.79,0
XSP.IDX,05-06-2014,192.85,194.17,192.29,194.05,0
XSP.IDX,06-06-2014,194.24,194.94,194.24,194.94,0
XSP.IDX,09-06-2014,194.9,195.56,194.72,195.13,0
XSP.IDX,10-06-2014,195.03,195.09,194.46,195.08,0
XSP.IDX,11-06-2014,194.94,194.94,194.01,194.39,0
XSP.IDX,12-06-2014,194.33,194.33,192.58,193.01,0
XSP.IDX,13-06-2014,193.08,193.73,192.77,193.62,0
